trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-142.19789357378772,"{0: 17, 1: 7, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-142.76514345684288,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-122.04439747593514,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-23.678904580443625,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-64.88831871352333,"{0: 23, 1: 4, 2: 1, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-102.95040674159841,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,15,-73.64036378423512,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,0.013608114760756518,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-74.99804150211469,"{0: 29, 1: 1, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,4,-39.26736277019817,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-57.250611946278,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-45.75402015169065,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,3,9.014123730888597,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-47.535496889027876,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-24.75286871419444,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,6,-8.172131612260735,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,4,22.910005689818462,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-27.151631952075725,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,32.5542130885904,"{0: 33, 1: 2, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,7,22.096282341698014,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,29.57495842457128,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,22.440550530691613,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,6,25.114995674574338,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,33.62544687482918,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,47.19287739005191,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,27.955648659597525,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,2,8.926512189701285,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,5,23.745760376437364,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,26.23714854734099,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,24,9.663940803833828,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
