trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,15,-40.589592777974,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-115.17824287010549,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985}",25,14,-32.781083997679445,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.98}",30,0,-104.18612751072604,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-97.14707391856085,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",30,0,-134.98338206598498,"{0: 15, 1: 3, 2: 10, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.965}",20,0,-216.7958225474565,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.96}",30,0,-136.73054673181946,"{0: 18, 1: 4, 2: 4, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",25,0,-122.63407394099858,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.95}",25,0,-134.22769671392828,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.945}",25,0,-116.09935468338865,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-68.84286005560043,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-54.14714698473511,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-159.74268648518455,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",30,0,-27.584133475222718,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",30,0,-241.45194538501207,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 5}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-209.4409295301502,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 4}",0
