trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.19661331310512,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,4,-91.59568960119469,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.54300156077437,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,10,-107.02109289637696,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,14,-36.74106015006282,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,14,-64.29495575799675,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.15581034363393,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-21.607759272079754,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.3384652436923,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,16,6.6961844071708025,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-180.5808647697783,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,4,-87.02974860810889,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,2,-40.00496266002647,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.11918758571747,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.06408745310007,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-232.76081089948974,"{0: 8, 1: 4, 2: 10, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.33887020835263,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.21290904942254,"{0: 10, 1: 5, 2: 8, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,15,-0.0007153123064451705,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.74576346582165,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-185.17917410463127,"{0: 13, 1: 5, 2: 9, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.3837231527171,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-152.36004047633048,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.6157137976283,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.6818158573084,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.47096161239764,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.37701535631368,"{0: 14, 1: 5, 2: 2, 3: 3, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-121.55776140479044,"{0: 20, 1: 7, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.06838602047824,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.86516851805786,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
